municipality,name,iata_code,coordinates
Dillon,Dillon County Airport,DLL,"34.4491004944, -79.368598938"
Del Rio,Laughlin Air Force Base,DLF,"29.359501, -100.778002"
Duluth,Duluth International Airport,DLH,"46.841873, -92.198746"
Dillon,Dillon Airport,DLN,"45.255401611299995, -112.553001404"
Dallesport / The Dalles,Columbia Gorge Regional Airport,DLS,"45.620979, -121.170777"
Tucson,Davis Monthan Air Force Base,DMA,"32.1665000916, -110.883003235"
Deming,Deming Municipal Airport,DMN,"32.262298584, -107.721000671"
Sedalia,Sedalia Memorial Airport,DMO,"38.70740127559999, -93.17590332030001"
Augusta,Daniel Field,DNL,"33.4664993286, -82.0393981934"
Dalton,Dalton Municipal Airport,DNN,"34.72290039, -84.87020111"
Denison,Denison Municipal Airport,DNS,"41.9864006, -95.38069916"
Danville,Vermilion Regional Airport,DNV,"40.199124, -87.59663"
Dover,Dover Civil Air Terminal/Dover Air Force Base,DOV,"39.129501, -75.466003"
Chicago/West Chicago,Dupage Airport,DPA,"41.90779877, -88.24859619"
Dugway Proving Ground,Michael AAF (Dugway Proving Ground) Airport,DPG,"40.197396, -112.935094"
Mercury,Desert Rock Airport,DRA,"36.6194, -116.032997"
DeRidder,Beauregard Regional Airport,DRI,"30.831699, -93.339897"
Drummond Island,Drummond Island Airport,DRE,"46.0093002319, -83.74389648440001"
Durango,Durango La Plata County Airport,DRO,"37.151501, -107.753998"
Del Rio,Del Rio International Airport,DRT,"29.3742008209, -100.927001953"
Kamaran Downs,Kamaran Downs Airport,KDS,"-24.3388, 139.2785"
Des Moines,Des Moines International Airport,DSM,"41.534027, -93.656719"
Dansville,Dansville Municipal Airport,DSV,"42.570545, -77.713273"
Delta,Delta Municipal Airport,DTA,"39.3805999756, -112.508003235"
Detroit Lakes,Detroit Lakes Airport,DTL,"46.824301, -95.883322"
Shreveport,Shreveport Downtown Airport,DTN,"32.5401992798, -93.7450027466"
Destin,Destin Executive Airport,DSI,"30.400101, -86.471497"
Detroit,Detroit Metropolitan Wayne County Airport,DTW,"42.21377, -83.353786"
Durant,Durant Regional Airport - Eaker Field,DUA,"33.939675, -96.395072"
Duncan,Halliburton Field,DUC,"34.47090149, -97.9598999"
Douglas Bisbee,Bisbee Douglas International Airport,DUG,"31.464139, -109.60456"
Dubois,DuBois Regional Airport,DUJ,"41.17829895, -78.8986969"
Devils Lake,Devils Lake Regional Airport,DVL,"48.115454, -98.908796"
Davenport,Davenport Municipal Airport,DVN,"41.610432, -90.589693"
Novato,Marin County Airport - Gnoss Field,NOT,"38.143600463867, -122.55599975586"
Slayton,Slayton Municipal Airport,NSL,"43.986801, -95.7826"
Phoenix,Phoenix Deer Valley Airport,DVT,"33.6883010864, -112.083000183"
Kandy,Victoria Reservoir Seaplane Base,KDW,"7.2415, 80.7834"
Houston,David Wayne Hooks Memorial Airport,DWH,"30.0618000031, -95.55280303960001"
Danbury,Danbury Municipal Airport,DXR,"41.371656, -73.482227"
Doylestown,Doylestown Airport,DYL,"40.3330001831, -75.1222991943"
Abilene,Dyess Air Force Base,DYS,"32.420799, -99.854599"
Kandy,Polgolla Reservoir Seaplane Base,KDZ,"7.3251, 80.6422"
Akorian,Lake Baringo (Kampi Ya Samaki) Airport,LBN,"0.603167, 36.013"
Kikambala,Vipingo Estate Airport,VPG,"-3.808441, 39.797235"
Kichwa Tembo,Kichwa Tembo Airport,KTJ,"-1.263497, 35.027533"
Mara Simba,Ol Seki Naboisho Airstrip,OSJ,"-1.378468, 35.38032"
Mara,Olare Orok Airfield,OLG,"-1.324213, 35.246106"
Mara Rianta,Mara North Conservancy Airstrip,HKR,"-1.14542, 35.124922"
Lolgorien,Angama Mara Airport,ANA,"-1.271586, 34.954666"
Mara Rianta,Musiara Airstrip,MDR,"-1.298636, 35.063885"
Serena,Mara-Olkiombo Airport,OLX,"-1.408586, 35.110689"
Kimwarer,Kerio Valley Airport,KRV,"0.317916, 35.664712"
Kiunga,Kiunga Airport,KIU,"-1.741272, 41.482707"
Liboi,Liboi Airport,LBK,"0.348333, 40.881699"
Monahans,Roy Hurd Memorial Airport,MIF,"31.582500457764, -102.90899658203"
Crane,Crane County Airport,CCG,"31.415100097699998, -102.362998962"
Espanola,Ohkay Owingeh Airport,ESO,"36.026133, -106.045443"
Whiteriver,Whiteriver Airport,WTR,"33.810175, -109.986555"
Alpine,Alpine Casparis Municipal Airport,ALE,"30.384199, -103.683998"
Bagdad,Bagdad Airport,BGT,"34.592796, -113.171993"
Wheatland,Phifer Airfield,EAN,"42.0555, -104.929001"
Kearney,Kearney Regional Airport,EAR,"40.727001, -99.006798"
Wenatchee,Pangborn Memorial Airport,EAT,"47.398899, -120.207001"
Eau Claire,Chippewa Valley Regional Airport,EAU,"44.86579895019531, -91.48429870605469"
Nanwalek,Nanwalek Airport,KEB,"59.3521, -151.925003"
Webster City,Webster City Municipal Airport,EBS,"42.436848, -93.869905"
Elizabeth City,Elizabeth City Regional Airport & Coast Guard Air Station,ECG,"36.260601, -76.174599"
Panama City Beach,Northwest Florida Beaches International Airport,ECP,"30.357106, -85.795414"
Newcastle,Mondell Field,ECS,"43.88379, -104.314156"
Edenton,Northeastern Regional Airport,EDE,"36.027698516799994, -76.56710052490001"
Enterprise,Enterprise Municipal Airport,ETS,"31.29969978, -85.89990234"
Edwards,Edwards Air Force Base,EDW,"34.910781, -117.886391"
Needles,Needles Airport,EED,"34.7663002014, -114.623001099"
Keene,Dillant Hopkins Airport,EEN,"42.898399, -72.270798"
Houston,Ellington Airport,EFD,"29.607299804700002, -95.1587982178"
Newport,Northeast Kingdom International Airport,EFK,"44.888802, -72.229202"
Jefferson,Jefferson Municipal Airport,EFW,"42.009866, -94.341717"
Eagle,Eagle County Regional Airport,EGE,"39.64260101, -106.9179993"
Crestview,Duke Field,EGI,"30.65040016, -86.52290344"
Eagle River,Eagle River Union Airport,EGV,"45.932300567599995, -89.26830291750001"
Ekwok,Ekwok Airport,KEK,"59.3568, -157.470993"
Eureka,Murray Field,EKA,"40.803398, -124.112999"
Elkhart,Elkhart Municipal Airport,EKI,"41.7193984985, -86.00319671630001"
Elkins,Elkins-Randolph County Regional Airport,EKN,"38.889759, -79.857651"
Elko,Elko Regional Airport,EKO,"40.82490158081055, -115.79199981689453"
Elizabethtown,Addington Field / Elizabethtown Regional Airport,EKX,"37.686001, -85.925003"
Eagle Lake,Eagle Lake Airport,ELA,"29.600599288900003, -96.3218994141"
El Dorado,South Arkansas Regional Airport at Goodwin Field,ELD,"33.221001, -92.813301"
Elk City,Elk City Regional Business Airport,ELK,"35.43080139, -99.39430237"
Elmira/Corning,Elmira Corning Regional Airport,ELM,"42.1599006652832, -76.8916015625"
Ellensburg,Bowers Field,ELN,"47.03300095, -120.5309982"
Ely,Ely Municipal Airport,LYU,"47.82450104, -91.83070374"
El Paso,El Paso International Airport,ELP,"31.809908, -106.375607"
Ely,Ely Airport Yelland Field,ELY,"39.29970169, -114.8420029"
Wellsville,Wellsville Municipal Airport - Tarantine Field,ELZ,"42.109501, -77.989998"
Kemmerer,Kemmerer Municipal Airport,EMM,"41.82410049439999, -110.556999207"
Emporia,Emporia Municipal Airport,EMP,"38.3320999146, -96.19120025630001"
El Monte,San Gabriel Valley Airport,EMT,"34.086102, -118.035004"
Enid,Vance Air Force Base,END,"36.339199, -97.916496"
Centralia,Centralia Municipal Airport,ENL,"38.515099, -89.091103"
Wendover,Wendover Airport,ENV,"40.7187004089, -114.03099823"
Kenosha,Kenosha Regional Airport,ENW,"42.59569931, -87.92780304"
Keokuk,Keokuk Municipal Airport,EOK,"40.459899902299995, -91.4284973145"
Neosho,Neosho Hugh Robinson Airport,EOS,"36.810799, -94.391701"
Ephrata,Ephrata Municipal Airport,EPH,"47.307598, -119.515999"
El Dorado,Captain Jack Thomas El Dorado Airport,EDK,"37.7741012573, -96.81759643550001"
Erie,Erie International Tom Ridge Field,ERI,"42.083127, -80.173867"
Errol,Errol Airport,ERR,"44.7925, -71.1642"
Kerrville,Kerrville / Kerr County Airport at Louis Schreiner Field,ERV,"29.9767, -99.085701"
Escanaba,Delta County Airport,ESC,"45.723199, -87.088623"
Alexandria,Esler Army Airfield / Esler Regional Airport,ESF,"31.394266, -92.294082"
Easton,Easton Airport / Newnam Field,ESN,"38.804199, -76.069"
Estherville,Estherville Municipal Airport,EST,"43.407398, -94.746399"
Easton,Easton State Airport,ESW,"47.2541999817, -121.185997009"
West Bend,West Bend Municipal Airport,ETB,"43.422278, -88.128966"
Eastland,Eastland Municipal Airport,ETN,"32.4135017395, -98.80979919430001"
Eufaula,Weedon Field,EUF,"31.9512996674, -85.1288986206"
Eugene,Eugene Airport,EUG,"44.124599, -123.211998"
Eveleth,Eveleth–Virginia Municipal Airport,EVM,"47.42458, -92.499204"
Evansville,Evansville Regional Airport,EVV,"38.0369987488, -87.5324020386"
Evanston,Evanston-Uinta County Airport-Burns Field,EVW,"41.27479935, -111.0350037"
New Bedford,New Bedford Regional Airport,EWB,"41.67610168457031, -70.95690155029297"
Newton,Newton City-County Airport,EWK,"38.058200836199994, -97.2744979858"
New Bern,Coastal Carolina Regional Airport,EWN,"35.0730018616, -77.04290008539999"
Newark,Newark Liberty International Airport,EWR,"40.6894, -74.170545"
Key West,Key West International Airport,EYW,"24.556119, -81.759579"
Colombo,Kelani-Peliyagoda Seaplane Base,KEZ,"6.95, 79.93"
Vernon,Wilbarger County Airport,WIB,"34.2257003784, -99.2837982178"
Murrieta,French Valley Airport,RBK,"33.5742, -117.127998"
Newport News (Fort Eustis),Felker Army Air Field,FAF,"37.1325, -76.608803"
Farmington,Farmington Regional Airport,FAM,"37.761101, -90.428597"
Fargo,Hector International Airport,FAR,"46.9207, -96.815804"
Fresno,Fresno Yosemite International Airport,FAT,"36.775767, -119.718018"
Fayetteville,Fayetteville Regional Airport - Grannis Field,FAY,"34.991199, -78.880302"
Fort Bragg,Simmons Army Air Field,FBG,"35.13180161, -78.93669891"
Faribault,Faribault Municipal Airport-Liz Wall Strohfus Field,FBL,"44.32844, -93.312534"
Fort Bridger,Fort Bridger Airport,FBR,"41.3918991089, -110.406997681"
Fairbury,Fairbury Municipal Airport,FBY,"40.182998657199995, -97.16929626459999"
Fresno,Fresno Chandler Executive Airport,FCH,"36.732399, -119.82"
Minneapolis,Flying Cloud Airport,FCM,"44.8272018433, -93.45709991460001"
Fort Carson,Butts AAF (Fort Carson) Air Field,FCS,"38.67839813, -104.7570038"
Forrest City,Forrest City Municipal Airport,FCY,"34.942001342800005, -90.7750015259"
Frederick,Frederick Municipal Airport,FDK,"39.417598724399994, -77.3742980957"
Frederick,Frederick Regional Airport,FDR,"34.35200119, -98.98390198"
Findlay,Findlay Airport,FDY,"41.013500213600004, -83.66870117190001"
Freeport,Albertus Airport,FEP,"42.2462005615, -89.58200073239999"
Fremont,Fremont Municipal Airport,FET,"41.45024, -96.522884"
Kill Devil Hills,First Flight Airport,FFA,"36.0181999207, -75.67130279540001"
Fairfield,Fairfield Municipal Airport,FFL,"41.053024, -91.980114"
Fergus Falls,Fergus Falls Municipal Airport - Einar Mickelson Field,FFM,"46.28440094, -96.15670013"
Dayton,Wright-Patterson Air Force Base,FFO,"39.826099, -84.048302"
Frankfort,Capital City Airport,FFT,"38.181698, -84.906764"
Mesa,Falcon Field,MSC,"33.4608, -111.727997"
Friday Harbor,Friday Harbor Airport,FRD,"48.523654, -123.024645"
Fort Huachuca / Sierra Vista,Sierra Vista Municipal Airport / Libby Army Air Field,FHU,"31.587383, -110.348225"
Franklin,Venango Regional Airport,FKL,"41.3778991699, -79.8603973389"
Franklin,Franklin Regional Airport,FKN,"36.698101, -76.903801"
Fond du Lac,Fond du Lac County Airport,FLD,"43.7711982727, -88.48840332030001"
Flagstaff,Flagstaff Pulliam Airport,FLG,"35.139757, -111.669826"
Fort Lauderdale,Fort Lauderdale Hollywood International Airport,FLL,"26.072599, -80.152702"
Florence,Florence Regional Airport,FLO,"34.18539810180664, -79.7238998413086"
Flippin,Marion County Regional Airport,FLP,"36.29090118, -92.59030151"
Fort Leavenworth,Sherman Army Air Field,FLV,"39.3683013916, -94.9147033691"
Fallon,Fallon Municipal Airport,FLX,"39.4990997314, -118.749000549"
Fort Meade(Odenton),Fort Meade Executive Airport,FME,"39.0854, -76.759399"
Falmouth,Cape Cod Coast Guard Air Station,FMH,"41.657899, -70.52163"
Farmington,Four Corners Regional Airport,FMN,"36.741199, -108.230003"
Fort Myers,Page Field,FMY,"26.58659935, -81.86329650879999"
Loveland,Northern Colorado Regional Airport,FNL,"40.44969, -105.011272"
Flint,Bishop International Airport,FNT,"42.969294, -83.743355"
Fort Dodge,Fort Dodge Regional Airport,FOD,"42.552624, -94.191237"
Topeka,Topeka Regional Airport,FOE,"38.950901, -95.663597"
Westhampton Beach,Francis S Gabreski Airport,FOK,"40.8437004089, -72.6317977905"
Fillmore,Fillmore Municipal Airport,FIL,"38.95830154, -112.362999"
Fort Pierce,Treasure Coast International Airport,FPR,"27.4951, -80.368301"
East Farmingdale,Republic Airport,FRG,"40.728576, -73.414267"
French Lick,French Lick Municipal Airport,FRH,"38.5061988831, -86.63690185550001"
Fort Riley (Junction City),Marshall Army Air Field,FRI,"39.053021, -96.764202"
Fairmont,Fairmont Municipal Airport,FRM,"43.643901825, -94.4156036377"
Front Royal,Front Royal Warren County Airport,FRR,"38.9175, -78.253502"
Sioux Falls,Sioux Falls Regional Airport,FSD,"43.585463, -96.741152"
Fort Sill,Henry Post Army Air Field,FSI,"34.649799, -98.402199"
Fort Scott,Fort Scott Municipal Airport,FSK,"37.7984008789, -94.7694015503"
Fort Smith,Fort Smith Regional Airport,FSM,"35.336601, -94.367401"
Fort Stockton,Fort Stockton Pecos County Airport,FST,"30.9157009125, -102.916000366"
Fort Sumner,Fort Sumner Municipal Airport,FSU,"34.4833984375, -104.217002869"
Fort Madison,Fort Madison Municipal Airport,FMS,"40.659113, -91.327763"
Fort Knox,Godman Army Air Field,FTK,"37.907100677500004, -85.9720993042"
Fort Worth,Fort Worth Meacham International Airport,FTW,"32.819919, -97.360818"
Atlanta,Fulton County Airport Brown Field,FTY,"33.7790985107, -84.5214004517"
Fullerton,Fullerton Municipal Airport,FUL,"33.8720016479, -117.980003357"
Frenchville,Northern Aroostook Regional Airport,WFK,"47.2854995728, -68.31279754639999"
Fort Wayne,Fort Wayne International Airport,FWA,"40.978896, -85.194465"
Fort Lauderdale,Fort Lauderdale Executive Airport,FXE,"26.1972999573, -80.1707000732"
Forest City,Forest City Municipal Airport,FXY,"43.23469925, -93.62409973"
Fayetteville,Fayetteville Municipal Airport,FYM,"35.059700012200004, -86.5640029907"
Fayetteville,Drake Field,FYV,"36.00510025024414, -94.17009735107422"
Gabbs,Gabbs Airport,GAB,"38.923173, -117.9572"
Gadsden,Northeast Alabama Regional Airport,GAD,"33.972599, -86.088996"
Gage,Gage Heibeck Airport,GAG,"36.295502, -99.776398"
Gaithersburg,Montgomery County Airpark,GAI,"39.168301, -77.166"
Great Bend,Great Bend Municipal Airport,GBD,"38.344299, -98.8592"
Galesburg,Galesburg Municipal Airport,GBG,"40.937999725299996, -90.431098938"
Great Barrington,Walter J. Koladza Airport,GBR,"42.18420029, -73.40319824"
Gillette,Northeast Wyoming Regional Airport,GCC,"44.3489, -105.539001"
John Day,Grant County Regional Airport / Ogilvie Field,JDA,"44.404202, -118.962997"
Garden City,Garden City Regional Airport,GCK,"37.9275016785, -100.723999023"
Grand Canyon - Tusayan,Grand Canyon National Park Airport,GCN,"35.9524, -112.147003"
Greeneville,Greeneville Municipal Airport,GCY,"36.195648, -82.811482"
Gardner,Gardner Municipal Airport,GDM,"42.5499992371, -72.0160980225"
Glendive,Dawson Community Airport,GDV,"47.137658, -104.80691"
Gladwin,Gladwin Zettel Memorial Airport,GDW,"43.9706001282, -84.47499847410002"
Georgetown,Delaware Coastal Airport,GED,"38.689201, -75.358902"
Spokane,Spokane International Airport,GEG,"47.6199, -117.533997"
Greybull,South Big Horn County Airport,GEY,"44.51679993, -108.0830002"
Great Falls,Malmstrom Air Force Base,GFA,"47.504699707, -111.18699646"
Greenfield,Pope Field,GFD,"39.790715, -85.735019"
Grand Forks,Grand Forks International Airport,GFK,"47.949299, -97.176102"
Glens Falls,Floyd Bennett Memorial Airport,GFL,"43.3412017822, -73.6102981567"
Georgetown,Georgetown County Airport,GGE,"33.3116989136, -79.3196029663"
Longview,East Texas Regional Airport,GGG,"32.38399887084961, -94.71150207519531"
Glasgow,Glasgow Valley County Airport Wokal Field,GGW,"48.212502, -106.614998"
Centerville,Centerville Municipal Airport,GHM,"35.8373985291, -87.44539642330001"
Grangeville,Idaho County Airport,IDH,"45.9426, -116.123001"
Winter Haven,Winter Haven Regional Airport - Gilbert Field,GIF,"28.062901, -81.753304"
Grand Junction,Grand Junction Regional Airport,GJT,"39.126663, -108.529387"
Meadville,Port Meadville Airport,MEJ,"41.626499, -80.214699"
Sevierville,Gatlinburg-Pigeon Forge Airport,GKT,"35.85779953, -83.52870178219999"
Goodland,Goodland Municipal Airport,GLD,"39.370701, -101.699753"
Gainesville,Gainesville Municipal Airport,GLE,"33.651401519800004, -97.1969985962"
